epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5694,1.58845,2.44393,1.14721,0.17347,0.87418,0.51245,0.30422,1.20764,1.78154,1.00884,0.0672286,3.28042e-05,3.28042e-05
2,25.2043,1.38947,1.73967,1.0644,0.76918,0.65691,0.79188,0.51224,1.15049,1.54226,0.99154,0.033926,6.35185e-05,6.35185e-05
3,36.6257,1.33204,1.41733,1.03123,0.8549,0.84042,0.90873,0.62217,1.09669,1.10748,0.96835,0.000620693,9.15928e-05,9.15928e-05
4,47.8781,1.25376,1.12833,1.00648,0.89505,0.86458,0.93772,0.65806,1.04637,0.97892,0.94685,8.812e-05,8.812e-05,8.812e-05
5,60.0506,1.21817,1.02945,0.99028,0.92962,0.88905,0.95382,0.68398,1.01569,0.88735,0.93339,8.416e-05,8.416e-05,8.416e-05
6,71.5849,1.17349,0.96552,0.97229,0.95227,0.90155,0.96288,0.69771,0.99359,0.82886,0.92514,8.02e-05,8.02e-05,8.02e-05
7,83.0797,1.14655,0.9295,0.96061,0.96045,0.90969,0.96763,0.70984,0.96938,0.80378,0.91702,7.624e-05,7.624e-05,7.624e-05
8,94.4907,1.12984,0.90539,0.95472,0.9635,0.91366,0.96964,0.71636,0.95459,0.7858,0.911,7.228e-05,7.228e-05,7.228e-05
9,105.88,1.10695,0.88609,0.95031,0.96456,0.91819,0.97074,0.72021,0.95051,0.77071,0.90864,6.832e-05,6.832e-05,6.832e-05
10,117.316,1.09974,0.8659,0.94579,0.96578,0.92306,0.97196,0.72787,0.92949,0.75544,0.90236,6.436e-05,6.436e-05,6.436e-05
11,128.86,1.09848,0.85646,0.94352,0.96633,0.92441,0.97316,0.73154,0.92268,0.74464,0.90045,6.04e-05,6.04e-05,6.04e-05
12,140.442,1.09191,0.84299,0.94093,0.96709,0.9257,0.97406,0.73521,0.91568,0.73473,0.89825,5.644e-05,5.644e-05,5.644e-05
13,151.69,1.06581,0.82778,0.9366,0.96796,0.92945,0.97498,0.7388,0.90571,0.72639,0.89482,5.248e-05,5.248e-05,5.248e-05
14,163.048,1.06105,0.824,0.93481,0.97046,0.9299,0.97548,0.74134,0.90094,0.71993,0.89367,4.852e-05,4.852e-05,4.852e-05
15,174.659,1.06368,0.81431,0.93103,0.97058,0.93103,0.97581,0.74167,0.90091,0.71406,0.89276,4.456e-05,4.456e-05,4.456e-05
16,187.63,1.01414,1.0075,0.93637,0.97209,0.93944,0.97699,0.7349,0.91735,0.76324,0.89232,4.06e-05,4.06e-05,4.06e-05
17,197.961,1.00844,0.9543,0.93379,0.97468,0.93779,0.97615,0.73214,0.92942,0.7603,0.89334,3.664e-05,3.664e-05,3.664e-05
18,208.095,1.01859,0.96179,0.92844,0.9752,0.93808,0.97704,0.73516,0.92258,0.74369,0.89181,3.268e-05,3.268e-05,3.268e-05
19,218.309,1.01099,0.93657,0.92896,0.97436,0.93969,0.97688,0.73623,0.91962,0.73975,0.89036,2.872e-05,2.872e-05,2.872e-05
20,228.501,1.008,0.94403,0.93338,0.9741,0.94125,0.97759,0.73787,0.91725,0.73169,0.88965,2.476e-05,2.476e-05,2.476e-05
21,238.695,1.01234,0.92835,0.92673,0.97223,0.94104,0.97729,0.73884,0.91361,0.72874,0.88853,2.08e-05,2.08e-05,2.08e-05
22,248.862,0.98518,0.90324,0.92376,0.97139,0.94102,0.97736,0.7412,0.90557,0.72272,0.8873,1.684e-05,1.684e-05,1.684e-05
23,259.082,0.98132,0.89634,0.92392,0.97262,0.93973,0.97732,0.74214,0.9059,0.71998,0.88696,1.288e-05,1.288e-05,1.288e-05
24,269.538,0.98812,0.89825,0.92678,0.97271,0.93994,0.97759,0.74327,0.90301,0.71805,0.88609,8.92e-06,8.92e-06,8.92e-06
25,279.813,0.99141,0.88921,0.92023,0.97173,0.94114,0.97744,0.74296,0.90386,0.7182,0.88622,4.96e-06,4.96e-06,4.96e-06
